"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,229,"TLS","Timor-Leste",1,"Aileu","Distrito","District",NA,NA
2,229,"TLS","Timor-Leste",2,"Ainaro","Distrito","District",NA,NA
3,229,"TLS","Timor-Leste",3,"Ambeno","Distrito","District",NA,"Oecussi"
4,229,"TLS","Timor-Leste",4,"Baucau","Distrito","District",NA,NA
5,229,"TLS","Timor-Leste",5,"Bobonaro","Distrito","District",NA,NA
6,229,"TLS","Timor-Leste",6,"Covalima","Distrito","District",NA,"Cova Lima"
7,229,"TLS","Timor-Leste",7,"Dili","Distrito","District",NA,NA
8,229,"TLS","Timor-Leste",8,"Ermera","Distrito","District",NA,NA
9,229,"TLS","Timor-Leste",9,"Lautém","Distrito","District",NA,NA
10,229,"TLS","Timor-Leste",10,"Liquiçá","Distrito","District",NA,NA
11,229,"TLS","Timor-Leste",11,"Manatuto","Distrito","District",NA,NA
12,229,"TLS","Timor-Leste",12,"Manufahi","Distrito","District",NA,NA
13,229,"TLS","Timor-Leste",13,"Viqueque","Distrito","District",NA,NA
