"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu","Subdistrito","Subdistrict",NA,NA
2,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara","Subdistrito","Subdistrict",NA,"Laulara"
3,229,"TLS","Timor-Leste",1,"Aileu",3,"Lequidoe","Subdistrito","Subdistrict",NA,"Liquidoe"
4,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio","Subdistrito","Subdistrict",NA,NA
5,229,"TLS","Timor-Leste",2,"Ainaro",5,"Ainaro","Subdistrito","Subdistrict",NA,NA
6,229,"TLS","Timor-Leste",2,"Ainaro",6,"Hato Builico","Subdistrito","Subdistrict",NA,NA
7,229,"TLS","Timor-Leste",2,"Ainaro",7,"Hato Hudo","Subdistrito","Subdistrict",NA,"Hato Udo"
8,229,"TLS","Timor-Leste",2,"Ainaro",8,"Maubisse","Subdistrito","Subdistrict",NA,NA
9,229,"TLS","Timor-Leste",3,"Ambeno",9,"Nitibe","Subdistrito","Subdistrict",NA,NA
10,229,"TLS","Timor-Leste",3,"Ambeno",10,"Oe Silo","Subdistrito","Subdistrict",NA,"Oesilo"
11,229,"TLS","Timor-Leste",3,"Ambeno",11,"Pante Macassar","Subdistrito","Subdistrict",NA,"Pante Makasar B"
12,229,"TLS","Timor-Leste",3,"Ambeno",12,"Passabe","Subdistrito","Subdistrict",NA,NA
13,229,"TLS","Timor-Leste",4,"Baucau",13,"Baguia","Subdistrito","Subdistrict",NA,NA
14,229,"TLS","Timor-Leste",4,"Baucau",14,"Baucau","Subdistrito","Subdistrict",NA,NA
15,229,"TLS","Timor-Leste",4,"Baucau",15,"Laga","Subdistrito","Subdistrict",NA,NA
16,229,"TLS","Timor-Leste",4,"Baucau",16,"Quelicai","Subdistrito","Subdistrict",NA,NA
17,229,"TLS","Timor-Leste",4,"Baucau",17,"Vemasse","Subdistrito","Subdistrict",NA,NA
18,229,"TLS","Timor-Leste",4,"Baucau",18,"Venilale","Subdistrito","Subdistrict",NA,NA
