"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",1,"Aisirimau","Suco","Community",NA,"Asirimou"
2,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",2,"Ban-Dudato","Suco","Community",NA,"Band|Bandato"
3,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",3,"Besilau","Suco","Community",NA,"Sukuliurai"
4,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",4,"Fahiria","Suco","Community",NA,NA
5,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",5,"Fatu Bessi","Suco","Community",NA,"Fatubosa"
6,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",6,"Fatu Bossa","Suco","Community",NA,"Fatubosa"
7,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",7,"Hoholau","Suco","Community",NA,NA
8,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",8,"Hohulo","Suco","Community",NA,"Sukuliurai"
9,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",9,"Hurairaco","Suco","Community",NA,"Lau-Si"
10,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",10,"Laclo","Suco","Community",NA,"Sukuliurai"
11,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",11,"Lahae","Suco","Community",NA,NA
12,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",12,"Lausi","Suco","Community",NA,"Lau-Si"
13,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",13,"Liquetura","Suco","Community",NA,"Lau-Si"
14,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",14,"Saboria","Suco","Community",NA,NA
15,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",15,"Sarin","Suco","Community",NA,"Sukuliurai"
16,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",16,"Seloi","Suco","Community",NA,NA
17,229,"TLS","Timor-Leste",1,"Aileu",1,"Aileu",17,"Suku Liurai","Suco","Community",NA,"Sukuliurai"
18,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",18,"Bocolelo","Suco","Community",NA,"Fatisi"
19,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",19,"Fatisi","Suco","Community",NA,NA
20,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",20,"Fucuculao","Suco","Community",NA,"Tuhumeta"
21,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",21,"Kotolau","Suco","Community",NA,"Koto Lau"
22,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",22,"Mada Beno","Suco","Community",NA,"Madabeno"
23,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",23,"Maneluma","Suco","Community",NA,"Madabeno"
24,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",24,"Seloi Craik","Suco","Community",NA,"Seloi Craic"
25,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",25,"Talitu","Suco","Community",NA,NA
26,229,"TLS","Timor-Leste",1,"Aileu",2,"Lau Lara",26,"Tohumeta","Suco","Community",NA,"Tuhumeta"
27,229,"TLS","Timor-Leste",1,"Aileu",3,"Lequidoe",27,"Acobilitoho","Suco","Community",NA,"Asu Bili Toho"
28,229,"TLS","Timor-Leste",1,"Aileu",3,"Lequidoe",28,"Berelau","Suco","Community",NA,"Bereleu"
29,229,"TLS","Timor-Leste",1,"Aileu",3,"Lequidoe",29,"Betulau","Suco","Community",NA,"Betu Lau"
30,229,"TLS","Timor-Leste",1,"Aileu",3,"Lequidoe",30,"Fahisoi","Suco","Community",NA,"Fahi Soi"
31,229,"TLS","Timor-Leste",1,"Aileu",3,"Lequidoe",31,"Hautrilau","Suco","Community",NA,"Hau Trilau"
32,229,"TLS","Timor-Leste",1,"Aileu",3,"Lequidoe",32,"Manukasa","Suco","Community",NA,"Manu Cassa"
33,229,"TLS","Timor-Leste",1,"Aileu",3,"Lequidoe",33,"Namoleso","Suco","Community",NA,NA
34,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",34,"Acumanu","Suco","Community",NA,"Acu Mau"
35,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",35,"Aicurus","Suco","Community",NA,"Faturasa"
36,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",36,"Fadabloko","Suco","Community",NA,"Fada Bloko"
37,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",37,"Fahisoi","Suco","Community",NA,"Fahi Soi"
38,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",38,"Fatu Rasa","Suco","Community",NA,"Faturasa"
39,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",39,"Hautoho","Suco","Community",NA,"Hau Toho"
40,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",40,"Maumeta","Suco","Community",NA,"Mau Meta"
41,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",41,"Reileu","Suco","Community",NA,"Faturasa"
42,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",42,"Suku Liurai","Suco","Community",NA,"Sukuliurai"
43,229,"TLS","Timor-Leste",1,"Aileu",4,"Remexio",43,"Tulatakeu","Suco","Community",NA,"Tula Takeu"
44,229,"TLS","Timor-Leste",2,"Ainaro",5,"Ainaro",44,"Ainaro","Suco","Community",NA,NA
45,229,"TLS","Timor-Leste",2,"Ainaro",5,"Ainaro",45,"Kassa","Suco","Community",NA,"Cassa"
46,229,"TLS","Timor-Leste",2,"Ainaro",5,"Ainaro",46,"Manutasi","Suco","Community",NA,NA
47,229,"TLS","Timor-Leste",2,"Ainaro",5,"Ainaro",47,"Mau-Lo","Suco","Community",NA,"Mau Ulo"
48,229,"TLS","Timor-Leste",2,"Ainaro",5,"Ainaro",48,"Mau-Nuno","Suco","Community",NA,"Mau Nuno"
49,229,"TLS","Timor-Leste",2,"Ainaro",5,"Ainaro",49,"Soro","Suco","Community",NA,NA
50,229,"TLS","Timor-Leste",2,"Ainaro",5,"Ainaro",50,"Suro Craik","Suco","Community",NA,"Soro Craic"
51,229,"TLS","Timor-Leste",2,"Ainaro",6,"Hato Builico",51,"Mausiga","Suco","Community",NA,"Mauxiga"
52,229,"TLS","Timor-Leste",2,"Ainaro",6,"Hato Builico",52,"Mulo","Suco","Community",NA,NA
53,229,"TLS","Timor-Leste",2,"Ainaro",6,"Hato Builico",53,"Nonumogue","Suco","Community",NA,"Nuno Moge"
54,229,"TLS","Timor-Leste",2,"Ainaro",7,"Hato Hudo",54,"Beikala","Suco","Community",NA,NA
